"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N974DL","1973",10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,13303,1330303,32467,"MIA","Miami, FL","FL","12","Florida",33,"1941","1941",0.00,0.00,0.00,0,"1900-1959",31.00,"2012","2133",10.00,"2140","2143",3.00,3.00,0.00,0,"2100-2159",0.00,"",0.00,119.00,122.00,81.00,1.00,594.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N945DL","1974",13244,1324402,33244,"MEM","Memphis, TN","TN","47","Tennessee",54,10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"1314","1309",-5.00,0.00,0.00,-1,"1300-1359",22.00,"1331","1522",10.00,"1535","1532",-3.00,0.00,0.00,-1,"1500-1559",0.00,"",0.00,81.00,83.00,51.00,1.00,332.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N592NW","1975",13487,1348702,31650,"MSP","Minneapolis, MN","MN","27","Minnesota",63,10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"1115","1111",-4.00,0.00,0.00,-1,"1100-1159",11.00,"1122","1418",7.00,"1442","1425",-17.00,0.00,0.00,-2,"1400-1459",0.00,"",0.00,147.00,134.00,116.00,1.00,907.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N983DL","1976",13204,1320402,31454,"MCO","Orlando, FL","FL","12","Florida",33,12953,1295302,31703,"LGA","New York, NY","NY","36","New York",22,"1855","1850",-5.00,0.00,0.00,-1,"1800-1859",11.00,"1901","2111",7.00,"2141","2118",-23.00,0.00,0.00,-2,"2100-2159",0.00,"",0.00,166.00,148.00,130.00,1.00,950.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N971DL","1977",10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,13930,1393002,30977,"ORD","Chicago, IL","IL","17","Illinois",41,"1605","1608",3.00,3.00,0.00,0,"1600-1659",14.00,"1622","1710",13.00,"1717","1723",6.00,6.00,0.00,0,"1700-1759",0.00,"",0.00,132.00,135.00,108.00,1.00,606.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N971DL","1977",13930,1393002,30977,"ORD","Chicago, IL","IL","17","Illinois",41,10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,"1800","1807",7.00,7.00,0.00,0,"1800-1859",16.00,"1823","2048",14.00,"2102","2102",0.00,0.00,0.00,0,"2100-2159",0.00,"",0.00,122.00,115.00,85.00,1.00,606.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N933DN","1978",10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,14524,1452401,34524,"RIC","Richmond, VA","VA","51","Virginia",38,"2215","2242",27.00,27.00,1.00,1,"2200-2259",15.00,"2257","0009",7.00,"2354","0016",22.00,22.00,1.00,1,"2300-2359",0.00,"",0.00,99.00,94.00,72.00,1.00,481.00,2,22.00,0.00,0.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N593NW","1979",13487,1348702,31650,"MSP","Minneapolis, MN","MN","27","Minnesota",63,13204,1320402,31454,"MCO","Orlando, FL","FL","12","Florida",33,"1030","1026",-4.00,0.00,0.00,-1,"1000-1059",34.00,"1100","1441",7.00,"1442","1448",6.00,6.00,0.00,0,"1400-1459",0.00,"",0.00,192.00,202.00,161.00,1.00,1310.00,6,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N593NW","1979",13204,1320402,31454,"MCO","Orlando, FL","FL","12","Florida",33,13487,1348702,31650,"MSP","Minneapolis, MN","MN","27","Minnesota",63,"1550","1551",1.00,1.00,0.00,0,"1500-1559",12.00,"1603","1801",2.00,"1816","1803",-13.00,0.00,0.00,-1,"1800-1859",0.00,"",0.00,206.00,192.00,178.00,1.00,1310.00,6,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2013,2,5,17,5,2013-05-17,"DL",19790,"DL","N943DL","1980",10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,10257,1025702,30257,"ALB","Albany, NY","NY","36","New York",22,"2031","2031",0.00,0.00,0.00,0,"2000-2059",21.00,"2052","2242",14.00,"2258","2256",-2.00,0.00,0.00,-1,"2200-2259",0.00,"",0.00,147.00,145.00,110.00,1.00,853.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
